City,Region,Country,Postal Code,Latitude,Longitude,Timezone,ISP,Organization,Autonomous System,User_Token
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,Etelnet,"Beijing Etelphone Technology CO., LTD",,5015ce860128
Toronto,Ontario,Canada,M1X,43.8307,-79.21,America/Toronto,NSI (Holdings) Limited,Together Networks Limited,AS196962 NSI (Holdings) Limited,f6ba0bc0df2f
Ashburn,Virginia,United States,20147,39.0519,-77.4523,America/New_York,DXC US Latin America Corporation,DXC US Latin America Corporation,AS21877 DXC US Latin America Corporation,37982fd4e7e2
Villiers-Saint-Fréderic,Île-de-France,France,78640,48.8194,1.89156,Europe/Paris,RENAULT,Renault,,fd7739c42c4b
,,,,,,,,,,6565cfa29abf
Nuremberg,Bavaria,Germany,90475,49.405,11.1617,Europe/Berlin,Contabo GmbH,Contabo GmbH,AS51167 Contabo GmbH,bf6fc57cf9c0
Chiyoda,Tokyo,Japan,100-8111,35.6916,139.768,Asia/Tokyo,CSF-CABLELINE,Kyushu Tele Communications Company,,cd9b7f20df21
Newark,New Jersey,United States,7102,40.7369,-74.172,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,,de2cef3bf86d
Chicago,Illinois,United States,60666,41.8781,-87.6298,America/Chicago,"T-Mobile USA, Inc.","T-Mobile USA, Inc.","AS21928 T-Mobile USA, Inc.",dc1cd4aa4ad9
Reseda,California,United States,91335,34.1979,-118.5371,America/Los_Angeles,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",8a1101c92dc1
Martlesham,England,United Kingdom,IP5,52.0588,1.2782,Europe/London,BTnet,,AS2856 British Telecommunications PLC,d9188dd32af9
,,,,,,,,,,f98e8fe4f4c1
Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (usgovvirginia),AS8070 Microsoft Corporation,9c7e53d57cbf
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,UK Ministry of Defence,UK Ministry of Defence,,46dd753f4ef4
,,,,,,,,,,f156f40e9ffc
,,,,,,,,,,3ec79e4f0b11
Radcliffe on Trent,England,United Kingdom,NG12,52.9526,-1.01242,Europe/London,Virgin Media Limited,Senior Internet Ltd,AS5089 Virgin Media Limited,5e2080fd7043
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,bb3b8f243156
Komone,Tokyo,Japan,173-0031,35.7458,139.6911,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,a33c77e20ba4
Brasov,Brașov County,Romania,500482,45.6524,25.6109,Europe/Bucharest,RCS & RDS,RCS & RDS Residential,AS8708 RCS & RDS,7a5ffc6af708
Monroe,Louisiana,United States,71203,32.5896,-92.0669,America/Chicago,"Level 3 Communications, Inc.","Level 3, LLC","AS3356 Level 3 Parent, LLC",effeaa39bd04
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,81f05a7a91b7
Baltimore,Maryland,United States,21202,39.303,-76.6062,America/New_York,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33657 Comcast Cable Communications, LLC",e3d302e31697
New York,New York,United States,10123,40.7128,-74.006,America/New_York,"AT&T Services, Inc.",AT&T Internet Services,"AS7018 AT&T Services, Inc.",82c7d8f27ddb
,,,,,,,,,,eb142668f7ce
Huntsville,Texas,United States,77341,30.7159,-95.5548,America/Chicago,Sam Houston State University,Sam Houston State University,AS33187 Sam Houston State University,d5c16ea8e684
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,b2da0bb59a71
Brazlândia,Federal District,Brazil,72700,-15.6716,-48.2064,America/Sao_Paulo,V tal,V tal,AS8167 V tal,08ed5da5e54d
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,4b3bb87e9ac0
,,,,,,,,,,1f4578bade6b
Orlando,Florida,United States,32837,28.3939,-81.4216,America/New_York,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",cc18f12d9b99
,,,,,,,,,,69f0280719d1
Bhopal,Madhya Pradesh,India,464993,23.2599,77.4126,Asia/Kolkata,RCOM-Wireless-3G,Reliance Communication Ltd,,e20edb4ea158
,,,,,,,,,,c2b55ddb234c
Hangzhou,Zhejiang,China,,30.2742,120.155,Asia/Shanghai,Chinanet,Ytwl,AS58461 CT-HangZhou-IDC,f801267b71c1
,,,,,,,,,,43534cd1f71b
Ashburn,Virginia,United States,20147,39.0519,-77.4523,America/New_York,Amazon.com,DXC US Latin America Corporation,,14acc9b37973
Waco,Texas,United States,76706,31.5154,-97.1219,America/Chicago,Texas State Technical College at Waco,Texas State Technical College at Waco,AS17327 Texas State Technical College at Waco,f642e7095458
Heilbronn,Baden-Wurttemberg,Germany,74072,49.1408,9.2149,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,b7e726749432
,,,,,,,,,,4522f6d2baec
Beijing,Beijing,China,,39.911,116.395,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",2c9eeda2e2d4
Petaling Jaya,Selangor,Malaysia,46050,3.0921,101.649,Asia/Kuala_Lumpur,P1NETWORKS,,,0b6c0870e4b2
,,,,,,,,,,3fde50a2f554
Shenzhen,Guangdong,China,518000,22.5431,114.058,Asia/Shanghai,China Internet Network Information Center,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited,9fc077916607
Beijing,Beijing,China,100000,39.9042,116.407,Asia/Shanghai,China Networks Inter-Exchange,Bjenet,AS4847 China Networks Inter-Exchange,4793b667fe0e
Des Plaines,Illinois,United States,60016,42.0487,-87.8905,America/Chicago,Verizon Business,Verizon Business,AS6167 Verizon Business,32a2ef581ec4
Sant Cugat del Vallès,Catalonia,Spain,8190,41.4706,2.08611,Europe/Madrid,RIMA (Red IP Multi Acceso),,AS3352 TELEFONICA DE ESPANA S.A.U.,c56c37f59196
London,England,United Kingdom,W1B,51.5072,-0.127586,Europe/London,Verizon Business,Verizon Nederland B.V.,AS702 Verizon Business,509e02f64b75
London,England,United Kingdom,W1B,51.5072,-0.127586,Europe/London,Serco Solutions Limited,Serco Group PLC,,e065e9df6bca
Eschborn,Hesse,Germany,65760,50.1333,8.57607,Europe/Berlin,Vodafone Global Enterprise Inc.,Vodafone D2 GmbH,AS3209 Vodafone GmbH,4f36a2af4fe2
Madrid,Madrid,Spain,28050,40.5167,-3.66479,Europe/Madrid,Telefonica de Espana SAU,RIMA (Red IP Multi Acceso),AS3352 TELEFONICA DE ESPANA S.A.U.,f311d0562c1d
Atlanta,Georgia,United States,30301,33.7485,-84.3871,America/New_York,"Akamai Technologies, Inc.",Linode,AS63949 Akamai Connected Cloud,4b88f81c43ae
Durham,North Carolina,United States,27709,35.905,-78.8566,America/New_York,IBM,IBM,,7de27a2e530c
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,DoD Network Information Center,USAISC,AS367 DoD Network Information Center,27ce22b994bf
Epping,New Hampshire,United States,3042,43.042,-71.0755,America/New_York,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS7015 Comcast Cable Communications, LLC",07b3c44ca0ee
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Societe Internationale de Telecommunications Aeronautiques,Societe Internationale de Telecommunications Aeronautiques,,92189fe51512
,,,,,,,,,,299bfdca9efb
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon.com,"Amazon.com, Inc.",,ef87c90ccd34
Portland,Oregon,United States,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",52a89ab1fbeb
Shenzhen,Guangdong,China,,22.5431,114.058,Asia/Shanghai,Tencent Cloud Computing,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited,4703eafce917
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Morgan Stanley Group Inc.,Morgan Stanley Group Inc.,,dacccb324c9e
Kyiv,Kyiv City,Ukraine,3113,50.458,30.5303,Europe/Kyiv,Bilink LLC,Bilink,AS48683 Bilink LLC,b872a342e728
Luçon,Pays de la Loire,France,85400,46.4623,-1.1556,Europe/Paris,Orange,,AS3215 Orange S.A.,f1e10bc57e41
Irwin,Pennsylvania,United States,15642,40.3177,-79.7223,America/New_York,Comcast Cable Communications,"Comcast IP Services, L.L.C.","AS7016 Comcast Cable Communications, LLC",65e0f71da3a5
,,,,,,,,,,5643a0479310
Portland,Oregon,United States,97207,45.5235,-122.676,America/Los_Angeles,"Amazon.com, Inc.",AWS EC2 (us-west-2),"AS16509 Amazon.com, Inc.",a9a3e1e4bbcc
Springfield,Missouri,United States,65807,37.168,-93.3039,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",1e066f96166c
Jakarta,Jakarta,Indonesia,,-6.23865,106.824,Asia/Jakarta,PT Media Andalan Nusa,Groovy,AS138841 PT Media Andalan Nusa,3c926a927edf
Borsov nad Vltavou,Jihocesky kraj,Czechia,373 82,48.9263,14.4374,Europe/Prague,Vodafone Czech Republic a.s.,Vodafone Czech Republic,AS16019 Vodafone Czech Republic a.s.,eeeb6fd2cfe9
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,Orange S.A,France Telecom Orange,AS3215 Orange S.A.,39a962623fe4
,,,,,,,,,,641362305ded
Melbourne,Victoria,Australia,3142,-37.8391,145.0197,Australia/Melbourne,Canaccord Genuity Financial Limited,Canaccord Genuity Financial Limited,"AS9472 Level 23, Exchange Plaza",445966cd01bb
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,c17e4509da07
Paris,Île-de-France,France,75000,48.8566,2.35222,Europe/Paris,TVCCONV,France Telecom services,,efdb6a0ec398
,,,,,,,,,,7d136a8f915f
Barcelona,Catalonia,Spain,8020,41.4287,2.2164,Europe/Madrid,Vodafone Espana S.A.U.,Vodafone Espana S.A.U,AS12430 VODAFONE ESPANA S.A.U.,8f78496e9f91
Forquilhinha,Santa Catarina,Brazil,88850,-28.7888,-49.4635,America/Sao_Paulo,TecleNet Solucoes Tecnologicas,TecleNet Solucoes Tecnologicas,AS52775 TecleNet Solucoes Tecnologicas,333c5bc2deeb
Cairo,Cairo Governorate,Egypt,,30.0444,31.2357,Africa/Cairo,Etisalat Misr Mobile BB,,AS36992 ETISALAT MISR,e57c0d71180c
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,RCC-C,USAISC,AS367 DoD Network Information Center,6450b9bec39b
San Francisco,California,United States,94109,37.783,-122.417,America/Los_Angeles,Microsoft Corporation,Microsoft Azure Cloud (westus),AS8075 Microsoft Corporation,ca3d6e1dd9e3
Nowa Sol,Lubusz,Poland,67-100,51.8034,15.7171,Europe/Warsaw,Orange Polska Spolka Akcyjna,Orange Polska S.A.,AS5617 Orange Polska Spolka Akcyjna,136881f0dde7
Tsukagoshi,Kanagawa,Japan,231-0851,35.4429,139.6604,Asia/Tokyo,Softbank BB Corp.,SOFTBANK Corp,AS17676 SoftBank Corp.,ba0b84a85c56
Feltham,England,United Kingdom,TW13,51.4305,-0.427685,Europe/London,BP International Ltd,BP International Ltd,,f8e3b70f47fc
Houston,Texas,United States,77002,29.7646,-95.3657,America/Chicago,"AT&T Services, Inc.",AT&T Corp,"AS7018 AT&T Services, Inc.",bb3e3dd3b8b5
Sejong,Sejong-si,South Korea,300,36.5916,127.2916,Asia/Seoul,LG DACOM Corporation,Boranet,AS3786 LG DACOM Corporation,c874cd776c0b
Niederbipp,Bern,Switzerland,4704,47.2701,7.7004,Europe/Zurich,Quickline AG,,AS15600 Quickline AG,ec88ba87d93c
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,a8860878bffe
Shanghai,Shanghai,China,,31.2304,121.474,Asia/Shanghai,China Telecom (Group),Chinanet SH,AS4812 China Telecom (Group),2ee91950f55a
Brampton,Ontario,Canada,L6T,43.7037,-79.7163,America/Toronto,Rogers Wireless Inc.,Rogers Wireless Inc.,,5c95d93d43b4
Suzhou,Jiangsu,China,215000,31.299,120.585,Asia/Shanghai,China Mobile communications corporation,China Mobile,AS56046 China Mobile communications corporation,7c0f533308c3
Amstelveen,North Holland,The Netherlands,1181,52.3003,4.86889,Europe/Amsterdam,Sociale Verzekeringsbank,,,e1a8bf40a72f
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,2d65ba7f5fdb
,,,,,,,,,,e95061acb491
,,,,,,,,,,e78550a13b12
Urbana,Ohio,United States,43078,40.1067,-83.7621,America/New_York,Charter Communications,Spectrum,AS10796 Charter Communications Inc,1816a19f6d62
Okazawacho,Kanagawa,Japan,240-0062,35.4691,139.5945,Asia/Tokyo,"Research Organization of Information and Systems, National Institute of Informa",,"AS2907 Research Organization of Information and Systems, National Institute of Informatics",471ff418d842
Stockholm,Stockholm County,Sweden,100 04,59.3293,18.0686,Europe/Stockholm,Telia Company AB,Telia Network Services,AS3301 Telia Company AB,90d9f7ae8143
Biloxi,Mississippi,United States,39532,30.5095,-88.9735,America/Chicago,AT&T Corp.,AT&T Corp,AS6389 AT&T Corp.,656bc767df2f
Canberra,Australian Capital Territory,Australia,2601,-35.2809,149.13,Australia/Sydney,ACT Government InTACT Group,ACT Government InTACT Group,AS139344 ACT Government InTACT Group,6975d8ac1eed
Utrecht,Utrecht,The Netherlands,3512,52.0907,5.12142,Europe/Amsterdam,SURFnet III b,SURFnet bv,AS1101 SURF B.V.,1552f953a2a6
Chengdu,Sichuan,China,,30.6498,104.0555,Asia/Shanghai,Chinanet,Chinanet SC,AS4134 CHINANET-BACKBONE,d874ad55a7a8
,,,,,,,,,,e21989361d5f
Fredericton,New Brunswick,Canada,E3B,45.8122,-66.6784,America/Moncton,Bell Canada,Bell Aliant / FibreOp,AS855 Bell Canada,726d7c85d732
Anyang-si,Gyeonggi-do,South Korea,14088,37.3884,126.936,Asia/Seoul,LG DACOM Corporation,Boranet,AS3786 LG DACOM Corporation,8346c34dab5a
Boydton,Virginia,United States,23917,36.677696,-78.37471,America/New_York,Microsoft Corporation,Microsoft Azure Cloud (eastus),AS8075 Microsoft Corporation,cfffd446a1ed
Riyadh,Riyadh Region,Saudi Arabia,9848,24.6869,46.7224,Asia/Riyadh,Saudi Telecom Company JSC,Saudinet,AS25019 Saudi Telecom Company JSC,7fe6eb034629
Namyangju,Gyeonggi-do,South Korea,120,37.7486,127.1888,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom,be3a620a400f
Bremen,Bremen,Germany,28195,53.0832,8.78828,Europe/Berlin,Deutsche Telekom AG,Deutsche Telekom AG,AS3320 Deutsche Telekom AG,f649ee55a640
,,,,,,,,,,66b5b2d14b81
,,,,,,,,,,0e2f1d0c7a49
Haymarket,Virginia,United States,20169,38.8672,-77.6488,America/New_York,Verizon Business,Verizon Business,AS701 Verizon Business,ce1038d84ba5
Guadalajara,Jalisco,Mexico,44900,20.6366,-103.4355,America/Mexico_City,"Mega Cable, S.A. de C.V.","Mega Cable, S.A. de C.V","AS13999 Mega Cable, S.A. de C.V.",e6da32f6fc22
,,,,,,,,,,f137e57ce799
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,f426e263a2ff
,,,,,,,,,,9f97c35c09da
San Jose,California,United States,95141,37.3382,-121.886,America/Los_Angeles,Akamai International B.V.,"Akamai Technologies, Inc.",AS20940 Akamai International B.V.,f0c50ae942f3
Magna,Utah,United States,84044,40.6979,-112.0865,America/Denver,Verizon Business,Verizon Business,AS22394 Verizon Business,442e16c2a6d9
Toronto,Ontario,Canada,M5A,43.6532,-79.3832,America/Toronto,"Cloudflare, Inc.","Cloudflare, Inc.","AS13335 Cloudflare, Inc.",ca1cdd2624ea
Seattle,Washington,United States,98160,47.6034,-122.3414,America/Los_Angeles,EdgeCast Networks,"EdgeCast Networks, Inc",,fee5b687e3af
Melbourne,Florida,United States,32901,28.0908,-80.6385,America/New_York,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc.","AS243 L3Harris Technologies, Inc.",6c7765cf0a7f
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,HYIC,,AS4538 China Education and Research Network Center,d999c5932e11
Eisenach,Thuringia,Germany,99817,50.9831,10.3168,Europe/Berlin,Plusnet GmbH,Top Mehrwert-Logistik GmbH & Co.,AS20676 Plusnet GmbH,bd76273f0eb3
Overland Park,Kansas,United States,66212,38.9507,-94.6824,America/Chicago,Charter Communications,Spectrum,AS11427 Charter Communications Inc,90f39b170d45
São Paulo,São Paulo,Brazil,1000,-23.6283,-46.6409,America/Sao_Paulo,TIM S/A,Tim Celular S.A.,AS26615 TIM S/A,dbfa09da9607
Memphis,Tennessee,United States,38103,35.1431,-90.0492,America/Chicago,"The University of Tennessee, Memphis",University of Tennessee,"AS16989 The University of Tennessee, Memphis",c21bbdeba0ea
Huntsville,Alabama,United States,35801,34.7315,-86.5654,America/Chicago,WideOpenWest Finance LLC,WideOpenWest Finance LLC,AS12083 WideOpenWest Finance LLC,47783608ab01
,,,,,,,,,,a56394afc529
,,,,,,,,,,cb29e447c8b5
New York,New York,United States,10041,40.7033,-74.0089,America/New_York,Depository Trust & Clearing Corporation,Depository Trust & Clearing Corporation,,97dbaaf3d188
Rahway,New Jersey,United States,7065,40.6123,-74.267,America/New_York,Merck and Co,"Merck and Co., Inc",,0a060c2d9624
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Amazon Technologies Inc.,Amazon Technologies Inc,,96a7f038e910
Porto Alegre,Rio Grande do Sul,Brazil,90000,-30.1169,-51.2658,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS26599 TELEFÔNICA BRASIL S.A,21c695d16944
Sterling,Virginia,United States,20163,39.01,-77.43,America/New_York,Groupe LWS SARL,Groupe LWS SARL,,0541c9f745c3
Amsterdam,North Holland,The Netherlands,1012,52.3676,4.90414,Europe/Amsterdam,in2ip B.V.,Vertebratus B.V,AS34141 in2ip B.V.,40092231e493
Santa Clara,California,United States,95052,37.3862,-121.964,America/Los_Angeles,Intel Corporation,Intel Corporation,,1b04e871810e
Amsterdam,North Holland,Netherlands,1098,52.352,4.9392,Europe/Amsterdam,Oracle Corporation,Oracle Cloud Infrastructure (eu-amsterdam-1),AS31898 Oracle Corporation,4676ce084fc0
Citrus Heights,California,United States,95610,38.6975,-121.2714,America/Los_Angeles,"Comcast Cable Communications, LLC","Comcast Cable Communications, Inc.","AS33667 Comcast Cable Communications, LLC",05036ec3df03
Paris,Île-de-France,France,75001,48.8323,2.4075,Europe/Paris,CHIYODA,Chiyoda Corporation,,5610c8c5669a
Haidian,Beijing,China,,39.9786,116.302,Asia/Shanghai,Tencent Cloud Computing (Beijing) Co,"Tencent Cloud Computing (Beijing) Co., Ltd",,809a0d6182fd
Detroit,Michigan,United States,48265,42.3296,-83.0395,America/Detroit,General Motors LLC,General Motors LLC,,65e0d3aa9d79
,,,,,,,,,,09bf36243058
Cascavel,Paraná,Brazil,,-24.9651,-53.4528,America/Sao_Paulo,Rpnet Informatica Ltda - ME,Rpnet Informatica Ltda - ME,AS266105 RPNET INFORMATICA LTDA - ME,9d1592d0fcef
,,,,,,,,,,6d8c3165e75c
Springfield,Illinois,United States,62702,39.8026,-89.6558,America/Chicago,Illinois Century Network,Illinois Century Network,AS6325 Illinois Century Network,1497d6c0b039
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,Alibaba Cloud,Aliyun Computing Co.,,55ac96b4c8a8
Hialeah,Florida,United States,33015,25.9381,-80.3146,America/New_York,Windstream Communications LLC,Windstream Communications LLC,AS7029 Windstream Communications LLC,f14285183945
Norfolk,Virginia,United States,23501,36.9151,-76.1866,America/New_York,DoD Network Information Center,Navy Network Information Center,AS749 DoD Network Information Center,0b06e478df92
New York,New York,United States,10011,40.7597,-73.981,America/New_York,MOD Mission Critical,Fast Track Internet,"AS54103 MOD Mission Critical, LLC",013cd2c0e7c8
,,,,,,,,,,16a9015be227
,,,,,,,,,,16784c3942ca
,,,,,,,,,,d4d2c628dd48
Delhi,National Capital Territory of Delhi,India,110092,28.6397,77.2859,Asia/Kolkata,TATA Communications Internet Services Ltd,PTIL,AS17820 DIRECT INTERNET LTD.,186918625c26
Collierville,Tennessee,United States,38017,35.042,-89.6645,America/Chicago,FedEx Internet Technologies Corporation,FedEx,AS7726 FedEx Internet Technologies Corporation,d7226fe40613
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,SoftLayer,SoftLayer Technologies Inc.,,c6504335d11e
New York,New York,United States,10123,40.7128,-74.006,America/New_York,Verizon Business,Verizon Business,AS701 Verizon Business,5475ab06b7a7
Sydney,New South Wales,Australia,1001,-33.8688,151.209,Australia/Sydney,Telstra Corporation Limited,Telstra Corporation,AS1221 Telstra Corporation Ltd,25b5fbb252a5
Schaumburg,Illinois,United States,60196,42.0665,-88.056,America/Chicago,"Motorola, Inc.",Motorola MNIC,"AS19773 Motorola, Inc.",12a7a5c20af5
Newark,New Jersey,United States,7102,40.7369,-74.172,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,,d8d6909a554f
London,England,United Kingdom,W1B,51.5074,-0.127758,Europe/London,Microsoft Limited,Microsoft Limited,,c72979719c7e
Greven,North Rhine-Westphalia,Germany,48268,52.0944,7.62917,Europe/Berlin,Cogent Communications,Wir Solutions GmbH,AS174 Cogent Communications,4d94b136f573
Columbus,Georgia,United States,31909,32.5304,-84.9316,America/New_York,FTBENNING,USAISC,AS367 DoD Network Information Center,ae28dd0d711a
,,,,,,,,,,1ee9af19d401
Newark,New Jersey,United States,7102,40.7369,-74.172,America/New_York,The Prudential Insurance Company of America,The Prudential Insurance Company of America,,ba480cbfa0ea
Sierra Vista,Arizona,United States,85613,31.5552,-110.35,America/Phoenix,ARNG-HI,USAISC,AS364 DoD Network Information Center,25ae74b82f96
,,,,,,,,,,52fdfd8e05a9
Pasig,Metro Manila,Philippines,1604,14.5766,121.073,Asia/Manila,Converge ICT,,AS17639 Converge ICT Solutions Inc.,09ff7b019d2a
,,,,,,,,,,27689afaaa29
Chaowai,Beijing,China,,39.9714,116.49,Asia/Shanghai,China Telecom (Group),21ViaNet,"AS23724 IDC, China Telecommunications Corporation",fcb356b534ce
Beijing,Beijing,China,,39.9042,116.407,Asia/Shanghai,CSTNET,Cstnet,,445fc044f039
Prague,Prague,Czechia,147 00,50.0484,14.4554,Europe/Prague,CZ.CZNET,,"AS5610 O2 Czech Republic, a.s.",e12f9240b0bd
Saquarema,Rio de Janeiro,Brazil,28990-000,-22.8935,-42.4683,America/Sao_Paulo,ML Telecom,Metropop Tecn. da Informação Ltda ( ML TELECOM ),AS10704 ML Telecom,832e55a95f10
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,467fec3a83ba
Cairo,Cairo Governorate,Egypt,,30.0588,31.2268,Africa/Cairo,TE Data,,AS8452 TE-AS,f84482154c30
,,,,,,,,,,9652ac52f3cb
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,4124ee5221ef
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,fa3e410df3b0
Seongnam-si,Gyeonggi-do,South Korea,135,37.377,127.1091,Asia/Seoul,SK Broadband Co Ltd,broadNnet,AS9318 SK Broadband Co Ltd,9666c610b3ad
Tunis,Tunis Governorate,Tunisia,,36.8232,10.1701,Africa/Tunis,TOPNET,ATI - Agence Tunisienne Internet,AS37705 TOPNET,e020e0fad8d9
Edmonton,Alberta,Canada,T5P,53.548,-113.597,America/Edmonton,TELUS Communications Inc.,TELUS Communications Inc.,AS852 TELUS Communications Inc.,ccf7e3f2d0b9
Morioka,Iwate,Japan,020-0821,39.7003,141.1542,Asia/Tokyo,NTT Communications Corporation,Open Computer Network,AS4713 NTT Communications Corporation,4955f3f5c616
Vetagrande,Zacatecas,Mexico,98140,22.8323,-102.5512,America/Mexico_City,"Mega Cable, S.A. de C.V.","Mega Cable, S.A. de C.V","AS13999 Mega Cable, S.A. de C.V.",8a7e98347fe9
,,,,,,,,,,c280e85781fa
,,,,,,,,,,c0f9a0744cce
,,,,,,,,,,b9a2f0bbd04b
Beijing,Beijing,China,,39.911,116.395,Asia/Shanghai,DXTNET,"Beijing Teletron Telecom Engineering Co., Ltd.",AS4808 China Unicom Beijing Province Network,b10e5157dd10
Whitehall,Ohio,United States,43218,39.9747,-82.8947,America/New_York,DoD Network Information Center,DoD Network Information Center,AS749 DoD Network Information Center,a57fe7097f52
City of London,England,United Kingdom,EC3R 7LP,51.5113,-0.079212,Europe/London,Microsoft Corporation,Microsoft Azure Cloud (uksouth),AS8075 Microsoft Corporation,892a1b5ed52a
Potomje,Dubrovnik-Neretva County,Croatia,20244,42.9437,17.3331,Europe/Zagreb,CARNET,,AS2108 Croatian Academic and Research Network,0fa29f37d1c6
Broomfield,Colorado,United States,80021,39.9209,-105.144,America/Denver,"Level 3 Communications, Inc.","Level 3 Communications, Inc.","AS3356 Level 3 Parent, LLC",e969be32d42f
Santa Clara,California,United States,95052,37.3862,-121.964,America/Los_Angeles,Intel Corporation,Intel Corporation,,0857672bc936
Stockholm,Stockholm County,Sweden,100 04,59.3293,18.0686,Europe/Stockholm,Telecom3,,AS29518 Bredband2 AB,80e8cf4eedfe
Auburndale,Florida,United States,33823,28.0699,-81.8107,America/New_York,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc",9b17c31ac813
Brussels,Brussels Capital,Belgium,1000,50.8774,4.42403,Europe/Brussels,Orange Belgium SA,,AS47377 Orange Belgium SA,bf6ff8264fc9
Santa Clara,California,United States,95054,37.3931,-121.962,America/Los_Angeles,The Constant Company,"Vultr Holdings, LLC","AS20473 The Constant Company, LLC",cf9814c0d1fe
Gallatin,Tennessee,United States,37066,36.4028,-86.467,America/Chicago,"AT&T Services, Inc.","AT&T Services, Inc.","AS7018 AT&T Services, Inc.",8cee19609159
Yuzhong Chengguanzhen,Gansu,China,,35.7518,104.286,Asia/Shanghai,Chinanet,Chinanet GS,AS4134 CHINANET-BACKBONE,060d0b083159
Nice,Provence-Alpes-Côte d'Azur,France,6300,43.7045,7.2597,Europe/Paris,Orange,,AS3215 Orange S.A.,ca9e20cc0b76
Kolkata,West Bengal,India,700014,22.518,88.3832,Asia/Kolkata,BHARTI,BCL NORTH,AS45609 Bharti Airtel Ltd. AS for GPRS Service,03b88a2a9037
Kurihama,Kanagawa,Japan,239-0831,35.2319,139.6911,Asia/Tokyo,Kddi Corporation,KDDI,AS2516 KDDI CORPORATION,5691588ccdbe
Englewood,Colorado,United States,80112,39.5781,-104.856,America/Denver,JAB Wireless,"JAB Wireless, INC.",,78780602c683
,,,,,,,,,,4b8e510b4828
Dearborn,Michigan,United States,48121,42.3223,-83.1763,America/Detroit,Ford Motor Company,Ford Motor Company,,95c7afc734cd
,,,,,,,,,,da3e0db8df22
