index,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
4107,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
4108,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4109,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4110,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4111,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4112,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4113,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
4114,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4115,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
4116,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
4117,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
4118,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4119,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4120,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
4121,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4122,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
4123,*,*,*,*,1,Secondary/Basic,"""*""",International,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,1,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4124,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4125,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
4126,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
4127,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4128,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
4129,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4130,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
4131,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4132,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4133,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Enrolled
4134,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4135,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4136,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
4137,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
4138,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Not Employed/Unknown,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
4139,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
4140,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
4142,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4143,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4144,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
4145,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
4146,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
4147,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
4148,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
4149,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4150,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4151,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
4152,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Not Employed/Unknown,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4153,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
4154,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
4155,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
4156,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
4157,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Dropout
4158,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4159,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4161,*,*,*,*,1,Secondary/Basic,"""*""",International,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,1,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4162,*,*,*,*,1,Secondary/Basic,"""*""",International,*,Other/Unknown,Not Employed/Unknown,Not Employed/Unknown,*,0,0,0,*,1,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
4163,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
4164,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
4165,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4166,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4167,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4168,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4169,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
4170,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4171,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
4172,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
4173,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4174,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4175,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
4176,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4177,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4178,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
4179,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
4180,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4181,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
4182,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
4183,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
4184,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4185,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Enrolled
4186,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
4187,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
4188,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Not Employed/Unknown,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4189,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4190,*,*,*,*,0,Higher Ed,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
4191,*,*,*,*,1,Higher Ed,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4192,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4194,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Dropout
4195,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4196,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Graduate
4197,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4198,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Enrolled
4199,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4200,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4201,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4202,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Enrolled
4203,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4204,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Not Employed/Unknown,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
4205,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Graduate
4206,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Graduate
4207,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4208,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,High (>2%),Growth (>=0),Dropout
4210,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
4211,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Graduate
4212,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4213,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4214,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4215,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Dropout
4216,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Dropout
4218,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4219,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4221,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4222,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4223,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Graduate
4224,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,Low (0-2%),Recession (<0),Graduate
4226,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Deflation (<0%),Recession (<0),Dropout
4227,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,1,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4228,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Enrolled
4230,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Higher Ed,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4231,*,*,*,*,0,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,High (>2%),Recession (<0),Enrolled
4232,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,>15%,High (>2%),Recession (<0),Dropout
4233,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Graduate
4234,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,10-15%,Low (0-2%),Growth (>=0),Enrolled
4235,*,*,*,*,1,Secondary/Basic,"""*""",Domestic,*,Secondary/Basic,Employed,Employed,*,1,1,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,<10%,Low (0-2%),Growth (>=0),Enrolled
