MCC,MNC,PLMN,Network_Type,Device_Type
240,8,24008,5G,Smartphone
206,1,20601,5G,Smartphone
240,8,24008,5G,Smartphone
234,38,23438,4G,IoT Device
206,5,20605,5G,Smartphone
310,480,310480,4G,Smartphone
206,1,20601,5G,Smartphone
310,260,310260,5G,Tablet
240,5,24005,4G,Smartphone
234,38,23438,3G,IoT Device
206,20,20620,4G,Smartphone
310,410,310410,4G,Smartphone
206,20,20620,3G,Smartphone
206,1,20601,5G,Tablet
240,24,24024,5G,Tablet
206,20,20620,4G,IoT Device
310,260,310260,4G,Smartphone
234,10,23410,4G,Smartphone
310,480,310480,4G,Smartphone
206,20,20620,5G,Smartphone
234,33,23433,4G,IoT Device
310,480,310480,3G,Smartphone
310,260,310260,5G,Smartphone
310,410,310410,3G,Smartphone
234,38,23438,3G,Tablet
240,1,24001,3G,Tablet
310,120,310120,5G,IoT Device
206,5,20605,5G,IoT Device
310,260,310260,4G,Smartphone
240,1,24001,3G,Tablet
310,410,310410,4G,IoT Device
206,10,20610,3G,Smartphone
234,38,23438,3G,Tablet
234,10,23410,3G,Tablet
206,10,20610,5G,Smartphone
310,120,310120,4G,IoT Device
240,2,24002,4G,Tablet
310,260,310260,4G,IoT Device
206,20,20620,4G,Smartphone
310,410,310410,4G,IoT Device
310,120,310120,4G,Tablet
240,16,24016,5G,Tablet
234,33,23433,4G,Smartphone
240,7,24007,5G,Tablet
206,20,20620,5G,Smartphone
240,4,24004,5G,Smartphone
234,10,23410,4G,Tablet
234,30,23430,4G,IoT Device
310,480,310480,4G,Smartphone
310,480,310480,4G,Tablet
234,38,23438,3G,Smartphone
234,20,23420,5G,Smartphone
240,1,24001,4G,Tablet
310,120,310120,4G,Smartphone
310,260,310260,3G,IoT Device
240,7,24007,5G,IoT Device
206,10,20610,4G,Tablet
234,15,23415,3G,Smartphone
234,33,23433,4G,Tablet
310,480,310480,4G,Tablet
310,410,310410,4G,Smartphone
234,33,23433,5G,IoT Device
240,8,24008,4G,IoT Device
206,20,20620,4G,Smartphone
310,480,310480,4G,IoT Device
234,33,23433,5G,Smartphone
234,20,23420,3G,IoT Device
206,5,20605,4G,IoT Device
234,15,23415,3G,Tablet
206,20,20620,4G,Smartphone
234,33,23433,4G,Tablet
234,10,23410,3G,Smartphone
240,16,24016,4G,Tablet
206,10,20610,5G,Smartphone
240,16,24016,3G,Smartphone
206,1,20601,5G,Smartphone
206,1,20601,5G,Smartphone
206,20,20620,4G,Smartphone
206,1,20601,5G,Smartphone
310,120,310120,5G,Tablet
240,24,24024,4G,Smartphone
240,8,24008,5G,Tablet
240,5,24005,5G,Tablet
240,7,24007,4G,Smartphone
234,38,23438,5G,IoT Device
310,260,310260,4G,IoT Device
234,30,23430,4G,Smartphone
206,10,20610,5G,Smartphone
206,20,20620,4G,Tablet
206,1,20601,5G,Smartphone
240,7,24007,5G,Smartphone
234,30,23430,4G,Tablet
234,33,23433,3G,Smartphone
206,10,20610,4G,Smartphone
310,260,310260,5G,Smartphone
206,10,20610,4G,Smartphone
234,30,23430,4G,Smartphone
310,120,310120,5G,Smartphone
206,10,20610,5G,Smartphone
310,260,310260,5G,IoT Device
234,10,23410,4G,Tablet
206,20,20620,3G,Smartphone
234,30,23430,3G,Tablet
234,10,23410,3G,Smartphone
240,8,24008,4G,Tablet
240,2,24002,5G,IoT Device
234,33,23433,4G,Smartphone
234,38,23438,3G,Tablet
234,10,23410,3G,Tablet
310,260,310260,4G,Tablet
206,1,20601,4G,Tablet
206,5,20605,5G,IoT Device
240,7,24007,5G,Smartphone
206,1,20601,4G,IoT Device
234,15,23415,4G,IoT Device
206,10,20610,5G,Tablet
310,480,310480,4G,IoT Device
234,33,23433,4G,Tablet
206,20,20620,5G,Smartphone
310,260,310260,4G,Smartphone
240,2,24002,4G,IoT Device
240,1,24001,4G,Smartphone
310,410,310410,4G,IoT Device
310,260,310260,4G,Smartphone
310,260,310260,4G,IoT Device
234,30,23430,4G,Smartphone
240,5,24005,5G,IoT Device
240,24,24024,5G,Smartphone
310,410,310410,5G,Tablet
206,5,20605,5G,Smartphone
310,120,310120,5G,Smartphone
310,260,310260,4G,IoT Device
240,5,24005,5G,Smartphone
234,38,23438,5G,Smartphone
206,10,20610,3G,Tablet
234,10,23410,3G,Tablet
240,7,24007,5G,Tablet
240,16,24016,4G,Tablet
240,1,24001,5G,Tablet
234,33,23433,3G,IoT Device
234,10,23410,3G,Tablet
310,260,310260,3G,IoT Device
310,410,310410,4G,Smartphone
240,16,24016,5G,Smartphone
310,410,310410,4G,Smartphone
240,16,24016,4G,Smartphone
240,7,24007,5G,Tablet
310,260,310260,4G,IoT Device
310,260,310260,5G,Tablet
234,20,23420,5G,Tablet
310,120,310120,5G,Smartphone
240,8,24008,3G,Smartphone
234,10,23410,4G,IoT Device
206,5,20605,5G,IoT Device
240,2,24002,4G,IoT Device
310,260,310260,5G,Smartphone
206,10,20610,5G,Smartphone
206,10,20610,5G,Smartphone
240,5,24005,5G,Tablet
234,30,23430,3G,Tablet
206,5,20605,5G,IoT Device
206,10,20610,4G,Tablet
310,120,310120,5G,Tablet
234,20,23420,3G,Tablet
234,33,23433,3G,Smartphone
240,16,24016,4G,Tablet
206,20,20620,4G,Smartphone
310,480,310480,5G,IoT Device
234,20,23420,3G,Tablet
310,120,310120,4G,Smartphone
240,4,24004,4G,Smartphone
206,20,20620,4G,Smartphone
206,1,20601,5G,Smartphone
234,20,23420,3G,IoT Device
240,5,24005,5G,Smartphone
206,20,20620,5G,Smartphone
234,33,23433,4G,Smartphone
206,1,20601,5G,IoT Device
234,15,23415,4G,Smartphone
240,16,24016,5G,IoT Device
310,260,310260,5G,Smartphone
234,33,23433,5G,Tablet
240,16,24016,4G,Tablet
206,5,20605,5G,Smartphone
206,20,20620,5G,Smartphone
310,410,310410,4G,IoT Device
240,16,24016,5G,Smartphone
234,15,23415,3G,Smartphone
240,7,24007,5G,Smartphone
234,38,23438,3G,Smartphone
240,4,24004,5G,Smartphone
240,5,24005,5G,Smartphone
240,5,24005,5G,Smartphone
234,15,23415,5G,Smartphone
240,8,24008,4G,Tablet
310,120,310120,4G,IoT Device
240,24,24024,5G,Smartphone
310,410,310410,4G,Smartphone
234,20,23420,3G,Tablet
234,33,23433,4G,Smartphone
240,5,24005,4G,Tablet
310,410,310410,4G,IoT Device
234,15,23415,4G,Smartphone
234,33,23433,4G,Smartphone
240,7,24007,5G,Tablet
310,260,310260,3G,Smartphone
234,38,23438,4G,Smartphone
234,38,23438,3G,Smartphone
206,1,20601,5G,Smartphone
234,10,23410,3G,Smartphone
206,1,20601,5G,Smartphone
206,1,20601,5G,Smartphone
206,5,20605,5G,Smartphone
310,260,310260,4G,Smartphone
234,33,23433,5G,Smartphone
240,5,24005,5G,Smartphone
240,4,24004,5G,Smartphone
310,120,310120,5G,IoT Device
234,10,23410,3G,IoT Device
206,20,20620,3G,Smartphone
240,16,24016,5G,Smartphone
206,1,20601,5G,Tablet
310,480,310480,4G,Smartphone
310,260,310260,5G,IoT Device
206,1,20601,5G,IoT Device
240,16,24016,4G,Smartphone
240,8,24008,4G,Smartphone
234,38,23438,5G,Smartphone
240,5,24005,4G,Smartphone
310,480,310480,4G,Smartphone
234,20,23420,4G,Tablet
234,10,23410,4G,IoT Device
234,10,23410,4G,IoT Device
310,480,310480,5G,IoT Device
310,480,310480,4G,IoT Device
234,15,23415,3G,IoT Device
310,480,310480,4G,Smartphone
310,410,310410,5G,IoT Device
240,16,24016,4G,Smartphone
206,20,20620,5G,IoT Device
234,10,23410,4G,Tablet
240,8,24008,4G,IoT Device
234,15,23415,4G,Tablet
310,260,310260,4G,Smartphone
206,10,20610,5G,Tablet
310,260,310260,5G,IoT Device
240,7,24007,5G,Tablet
206,10,20610,3G,Smartphone
234,30,23430,4G,IoT Device
206,5,20605,4G,Smartphone
310,480,310480,3G,IoT Device
310,480,310480,4G,Smartphone
310,120,310120,4G,Tablet
240,1,24001,5G,Smartphone
310,480,310480,4G,Smartphone
234,15,23415,5G,Smartphone
206,5,20605,3G,Smartphone
310,260,310260,4G,Tablet
310,480,310480,4G,Smartphone
206,5,20605,3G,Tablet
310,480,310480,4G,IoT Device
234,38,23438,4G,Tablet
310,260,310260,5G,Smartphone
206,1,20601,3G,Smartphone
310,410,310410,4G,Smartphone
234,15,23415,3G,IoT Device
240,4,24004,5G,Smartphone
206,10,20610,4G,Smartphone
310,410,310410,4G,Smartphone
310,120,310120,5G,IoT Device
234,33,23433,4G,IoT Device
234,38,23438,4G,Smartphone
240,4,24004,5G,Tablet
206,5,20605,5G,Smartphone
234,15,23415,4G,Tablet
234,33,23433,5G,Smartphone
234,33,23433,3G,Tablet
240,1,24001,4G,Smartphone
240,5,24005,4G,Smartphone
206,5,20605,4G,Tablet
240,2,24002,5G,Smartphone
206,5,20605,5G,Smartphone
206,10,20610,4G,Smartphone
310,260,310260,4G,Smartphone
310,260,310260,3G,Tablet
234,38,23438,3G,Smartphone
310,480,310480,4G,Tablet
206,5,20605,5G,Smartphone
234,20,23420,4G,IoT Device
310,260,310260,3G,Smartphone
206,5,20605,5G,IoT Device
206,20,20620,4G,Tablet
206,1,20601,5G,Smartphone
206,20,20620,3G,Smartphone
234,33,23433,3G,Smartphone
240,1,24001,5G,Smartphone
310,260,310260,3G,IoT Device
206,10,20610,3G,Tablet
310,410,310410,4G,Smartphone
234,33,23433,4G,Smartphone
206,20,20620,4G,Tablet
310,260,310260,3G,IoT Device
206,20,20620,5G,Tablet
234,38,23438,3G,Tablet
310,480,310480,5G,IoT Device
234,15,23415,3G,Smartphone
206,10,20610,5G,Smartphone
234,20,23420,4G,Tablet
240,16,24016,5G,Tablet
310,480,310480,4G,Smartphone
234,38,23438,5G,Smartphone
240,24,24024,5G,Smartphone
206,10,20610,3G,Smartphone
240,24,24024,5G,Smartphone
240,2,24002,5G,Smartphone
240,4,24004,5G,Smartphone
234,20,23420,4G,Smartphone
240,5,24005,5G,Smartphone
234,38,23438,3G,IoT Device
240,24,24024,5G,Smartphone
206,1,20601,5G,IoT Device
206,5,20605,3G,Smartphone
310,410,310410,3G,IoT Device
310,480,310480,4G,IoT Device
206,5,20605,3G,Tablet
206,5,20605,5G,Smartphone
206,10,20610,5G,Smartphone
234,30,23430,4G,Tablet
240,4,24004,5G,Smartphone
240,2,24002,5G,Tablet
240,1,24001,4G,Smartphone
240,1,24001,5G,Smartphone
234,33,23433,4G,Smartphone
234,15,23415,3G,Tablet
310,480,310480,4G,IoT Device
240,5,24005,5G,Smartphone
234,33,23433,4G,IoT Device
240,2,24002,4G,Tablet
234,33,23433,3G,IoT Device
206,20,20620,4G,Tablet
234,20,23420,4G,IoT Device
206,1,20601,4G,Smartphone
206,5,20605,5G,Tablet
